Coal or metal,Commodity,Mine name,Mine type,Operator ID,Operator name,State,Status
M,Construction Sand and Gravel,Reeves Dirt Pit Incorporated,Surface,1601127,Reeves Dirt Pit Inc,LA,Abandoned
M,"Sand, Industrial NEC",EGeria Dirt Pit,Surface,3800655,Risher Mining Inc,SC,Abandoned
M,"Sand, Common",River Bottom Dirt,Surface,4105017,River Bottom Dirt,TX,Abandoned
M,Construction Sand and Gravel,Rodosta Dirt Pit,Surface,1600980,Rodosta Brothers Contractors Inc,LA,Abandoned
M,Construction Sand and Gravel,Roe'S Dirt Pit,Surface,1600986,Roe'S Dirt Pit,LA,Abandoned
M,Construction Sand and Gravel,Roe'S Dirt Pit,Surface,1600951,Roe'S Inc,LA,Abandoned
M,Construction Sand and Gravel,J. V. DIRT & LOAM,Surface,4103211,Service Holdings Inc,TX,Abandoned
M,Construction Sand and Gravel,Sierra Rock & Dirt Inc,Surface,2402115,"Sierra Rock & Dirt, Inc.",MT,Abandoned
M,Construction Sand and Gravel,Southside Dirt Pit,Surface,1601159,Southside Dirt Company,LA,Abandoned
M,"Crushed, Broken Stone NEC",Stewart Dirt Work Inc - Hanna Pit,Surface,4104475,"Stewart Dirt Work, Inc.",TX,Abandoned
M,"Sand, Common",Suncoast Dirt Pit,Surface,0801388,"Suncoast Concrete, Inc.",FL,Abandoned
M,Construction Sand and Gravel,Surrey Dirt Pit,Surface,1601178,Surrey Corp,LA,Abandoned
M,Construction Sand and Gravel,Highway 642 Dirt Pit,Surface,3800617,Sweat'S Dirt Hauling Inc,SC,Abandoned
M,Construction Sand and Gravel,Rock-N-Dirt,Surface,4104618,The Wishbone Ranch,TX,Abandoned
M,Construction Sand and Gravel,Toler Roe Dirt Pit,Surface,1601234,Toler Roe Dirt Pit,LA,Abandoned
M,Uranium Ore,Pay Dirt North Incline,Underground,4801174,U S Energy Corp,WY,Abandoned
M,Construction Sand and Gravel,Bunk Dirt Pit,Surface,1601131,W C Hoyt,LA,Abandoned
M,Construction Sand and Gravel,Southside Dirt Pit,Surface,1600952,Waste Not Inc,LA,Abandoned
M,Construction Sand and Gravel,Withrow'S Dirt Pit,Surface,1601162,Withrow Enterprise Inc,LA,Abandoned
M,Construction Sand and Gravel,Yarbrough Dirt Pit #1,Surface,4103264,Yarbrough Dirt Pit Inc,TX,Abandoned
