id,director_id,film_id
0,80,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,13
15,15,13
16,16,14
17,17,16
18,18,17
19,19,18
20,20,19
21,21,20
22,22,21
23,23,22
24,24,23
25,25,24
26,26,25
27,27,26
28,28,27
29,29,28
30,30,29
31,31,30
32,32,31
33,33,32
34,34,33
35,29,34
36,35,35
37,36,36
38,37,37
39,38,38
40,39,39
41,40,40
42,41,41
43,42,41
44,43,42
45,44,43
46,45,43
47,46,44
48,47,45
49,48,46
50,49,47
51,50,48
52,51,49
53,52,49
54,53,50
55,54,51
56,55,52
57,56,53
58,57,55
59,446,56
60,59,57
61,60,57
62,61,58
63,62,58
64,63,59
65,64,60
66,65,61
67,66,62
68,67,63
69,68,63
70,41,64
71,42,64
72,69,65
73,70,66
74,34,67
75,71,68
76,72,69
77,73,70
78,74,71
79,41,72
80,42,72
81,75,73
82,76,74
83,77,75
84,11,76
85,1,77
86,178,78
87,79,79
88,80,80
89,6,81
90,81,82
91,82,83
92,83,83
93,84,84
94,85,85
95,86,86
96,87,87
97,38,88
98,88,89
99,89,90
100,90,91
101,91,92
102,29,93
103,92,94
104,16,95
105,93,96
106,16,97
107,94,98
108,95,99
109,45,100
110,96,101
111,97,102
112,34,103
113,4,104
114,98,105
115,99,105
116,94,106
117,100,107
118,101,108
119,71,109
120,102,110
121,103,111
122,63,111
123,104,112
124,105,112
125,106,112
126,107,113
127,108,114
128,74,115
129,44,116
130,110,117
131,111,118
132,112,119
133,113,120
134,114,121
135,17,122
136,73,123
137,2,124
138,115,125
139,116,126
140,117,127
141,118,128
142,58,129
143,119,130
144,120,131
145,121,132
146,122,133
147,123,134
148,124,135
149,125,136
150,126,137
151,127,138
152,128,138
153,74,139
154,129,140
155,130,141
156,131,142
157,132,143
158,133,144
159,134,145
160,135,146
161,136,147
162,137,148
163,64,149
164,66,150
165,138,151
166,139,151
167,67,152
168,140,153
169,29,154
170,141,155
171,142,156
172,143,157
173,144,158
174,70,159
175,4,160
176,7,161
177,145,162
178,146,163
179,147,163
180,148,164
181,149,165
182,150,166
183,151,167
184,138,168
185,139,168
186,35,169
187,152,170
188,42,171
189,41,171
190,153,172
191,154,173
192,155,174
193,156,175
194,157,175
195,158,176
196,159,176
197,160,177
198,161,178
199,39,179
200,84,180
201,162,180
202,163,181
203,164,182
204,165,183
205,27,184
206,166,185
207,167,186
208,168,187
209,66,188
210,169,189
211,170,190
212,171,191
213,172,192
214,48,193
215,11,194
216,173,195
217,174,196
218,75,197
219,175,198
220,176,199
221,177,200
222,178,201
223,67,202
224,35,203
225,48,204
226,179,205
227,180,206
228,154,207
229,181,208
230,182,209
231,30,210
232,183,211
233,181,212
234,86,213
235,124,214
236,164,215
237,86,216
238,113,217
239,184,218
240,185,219
241,27,220
242,81,221
243,186,222
244,66,222
245,187,223
246,188,224
247,189,225
248,190,226
249,191,227
250,90,229
251,192,230
252,193,231
253,194,231
254,195,232
255,196,232
256,197,233
257,198,234
258,199,234
259,200,234
260,201,234
261,202,234
262,203,234
263,204,234
264,205,235
265,206,236
266,207,237
267,208,237
268,209,238
269,210,239
270,211,240
271,212,241
272,93,242
273,12,243
274,213,244
275,214,245
276,215,246
277,216,247
278,217,248
279,16,249
280,218,250
281,219,251
282,220,252
283,129,253
284,221,254
285,58,255
286,17,256
287,222,257
288,223,258
289,224,259
290,225,260
291,226,261
292,227,261
293,228,262
294,87,263
295,229,264
296,230,265
297,66,266
298,231,267
299,232,268
300,219,269
301,113,270
302,233,271
303,110,272
304,234,273
305,235,274
306,236,275
307,237,276
308,238,277
309,239,278
310,240,279
311,40,280
312,241,281
313,242,282
314,243,283
315,73,284
316,244,285
317,245,286
318,55,287
319,49,288
320,246,289
321,13,290
322,34,291
323,247,292
324,248,293
325,249,294
326,250,295
327,164,296
328,251,297
329,252,298
330,253,299
331,224,299
332,254,300
333,255,301
334,256,302
335,257,303
336,258,303
337,166,304
338,259,306
339,260,307
340,261,308
341,320,309
344,257,310
345,258,310
346,47,311
347,265,312
348,114,313
349,266,314
350,163,315
351,267,316
352,268,317
353,269,318
354,270,319
355,271,320
356,272,322
357,273,323
358,274,324
359,275,325
360,276,326
361,277,327
362,278,328
363,279,329
364,280,330
365,281,331
366,282,332
367,164,333
368,283,334
369,284,335
370,148,336
371,74,337
372,285,338
373,71,339
374,39,340
375,286,341
376,287,342
377,288,343
378,7,344
379,224,345
380,289,345
381,290,346
382,4,347
383,283,348
384,113,349
385,260,350
386,67,351
387,453,352
388,182,353
389,292,354
390,293,355
391,294,356
392,87,357
393,295,358
394,91,359
395,296,360
396,39,361
397,140,362
398,297,363
399,298,364
400,230,365
401,299,366
402,300,367
403,19,368
404,301,369
405,35,370
406,81,371
407,302,372
408,47,373
409,303,374
410,304,375
411,305,376
412,306,377
413,307,377
414,308,378
415,309,379
416,310,380
417,46,381
418,64,382
419,311,383
420,312,384
421,313,385
422,314,386
423,315,387
424,112,388
425,260,389
426,315,390
427,316,391
428,317,392
429,318,394
430,319,395
431,320,396
432,321,397
433,17,398
434,322,399
435,184,400
436,323,401
437,324,402
438,107,403
439,325,404
440,326,405
441,327,406
442,328,407
443,329,408
444,330,409
445,50,410
446,166,411
447,247,412
448,224,413
449,115,415
450,332,416
451,333,417
452,73,418
453,334,419
454,288,420
455,113,421
456,230,422
457,335,424
458,311,425
459,317,426
460,336,427
461,337,428
462,112,429
463,338,430
464,339,431
465,102,432
466,79,433
467,340,434
468,341,435
469,342,436
470,343,437
471,344,438
472,345,439
473,46,440
474,346,441
475,347,442
476,348,443
477,349,444
478,350,445
479,245,447
480,351,448
481,352,449
482,353,449
483,315,450
484,214,451
485,234,452
486,354,453
487,355,454
488,356,455
489,357,456
490,358,457
491,359,459
492,360,460
493,361,461
494,362,462
495,100,463
496,283,464
497,363,465
498,364,466
499,365,467
500,361,468
501,67,469
502,366,470
503,367,471
504,30,472
505,368,473
506,220,474
507,369,475
508,43,476
509,363,477
510,370,478
511,371,479
512,67,480
513,372,481
514,373,482
515,374,483
516,375,484
517,376,485
518,377,486
519,378,487
520,375,488
521,73,489
522,165,490
523,31,491
524,379,492
525,165,493
526,89,494
527,380,495
528,381,496
529,382,497
530,163,498
531,383,499
532,181,500
533,384,501
534,100,502
535,254,503
536,385,504
537,386,505
538,387,506
539,380,507
540,388,508
541,21,509
542,389,510
543,141,511
544,390,512
545,391,513
546,115,514
547,229,515
548,240,516
549,114,517
550,392,518
551,27,519
552,393,520
553,156,521
554,394,521
555,45,521
556,395,522
557,396,523
558,288,524
559,397,525
560,305,526
561,398,527
562,224,528
563,399,529
564,400,530
565,401,531
566,59,532
567,402,533
568,403,534
569,404,535
570,405,535
571,406,536
572,407,536
573,223,537
574,408,538
575,409,539
576,23,541
577,410,542
578,411,542
579,412,543
580,413,543
581,112,544
582,47,545
583,414,546
584,415,547
585,416,547
586,2,548
587,417,549
588,418,550
589,419,551
590,188,552
591,245,553
592,420,554
593,107,555
594,344,556
595,421,557
596,422,558
597,423,559
598,424,560
599,425,561
600,426,562
601,92,563
602,427,564
603,18,565
604,129,566
605,288,567
606,428,568
607,79,569
608,429,570
609,430,571
610,431,572
611,432,573
612,321,574
613,433,575
614,314,576
615,434,577
616,435,577
617,436,578
618,437,579
