,age,date,disabled,members
117,34 ,1012012010 00:05 10.11 ,ND ,1 
118,42 ,101202010 00:05 31.1 ,No ,1 
119,33 ,1110512010 10:44 2M ,Yes ,1 
120,45 ,11105120101044 AM ,YES ,1 
121,35 ,12002010 11:22 2M ,YES ,1 
122,33 ,1211012010 10:20 2.111 , ,1 
123,51 ,121222010 12:32 PM ,Yes ,1 
124,33 ,1212212010 1232 PM ,Ya; ,1 
125,"u, ",0211512011 00:33 2.11:! ,T35 ,1 
126,54 ,03032011 10:35 11111 ,T35 ,1 
127,43 ,03032011 10:35 AM ,”fag ,1 
128,53 ,0310012011 10:32 11M ,Yea. ,1 
129,33 ,0410512011 00:30 MI! ,“r95 ,1 
130,55 ,04113-12011 10:03 .0111 ,“ma ,1 
131,55 ,04222011 00:31 AM ,'fEIS ,1 
132,45 ,W011 03:15 PM ,‘I'as ,1 
133,55 ,0511212011 02:32 PM ,‘r'as ,1 
134,El ,0511212011 02:33 PM ,N1:- ,1 
135,5? ,00100-2011 12:15 PM , ,1 
136,35 ,0510012011 12:15 PM ,Mu- ,1 
137,41 ,00002011 12:12 PM , ,1 
138,4.5 ,0512112011 12:51 PM ,Yes ,1 
139,55! ,05121-20111215113111 ,Yes ,1 
140,24 ,052112011 12:52 PM ,‘r'as ,1 
141,54 ,0512112011 12:53 PM ,Yes ,1 
142,33 ,0210212011 01:11 PM ,M:- ,2 
143,43 ,0210212011 01:11 PM , ,2 
144,55 ,0211412011 04:55 PM ,Van ,1 
145,35 ,0011012011 03:45 PM ,Yes ,1 
146,25 ,0011012011 03:45 PM ,Yes ,1 
147,43 ,0012512011 04:21 PM ,ND ,2 
148,22 ,0012512011 04:21 PM , ,1 
149,33 ,0512512011 0252 PM ,ND ,1 
150,35 ,1010012011 12:54 PM , ,1 
151,5? ,1011012011 02:25 PM ,No ,1 
152,55 ,1012112011 00:22 2].! , ,1 
153,5? ,1012112011 00:22 11111 ,Yes ,2 
154,55 ,10121120110522 AM ,Yes ,1 
155,3? ,10125120110212 PM ,No ,1 
156,51 ,1 11032011 00:40 11111 , ,1 
157, ,1111212011 04:11 PM ,Yes ,1 
158,E? ,11112120110212 PM ,T35 ,1 
159,4::- ,11021210110414 FM ,Mo- ,1 
160,55 ,1113012011002? 1011 , ,1 
161,5? , ,Yea; , 
162,32 ,1210212011 12:11-B F‘H ,No ,1 
163,45 ,130302011 00:10 Mal , ,1 
164,52 ,1212230110210 F'I'Il ,Yes ,1' 
165,55 ,1212012011 02:12 PM ,Yes ,1 
166, ,0112012012 00:00 AM ,1'95 ,'i 
167,59 ,0112512012 02:2? PM ,Yes ,2 
168,55 ,01100120121020 AM ,Yes ,I 
169,55 ,0212212012 0014-0 AM ,‘r'as ,2 
170,49 ,0212012012 02:10 PM ,Yes ,1 
171,55 ,021231201 2 05:13 AM ,Yes ,1 
172,52 ,0010112012 01:3? PM ,3'95 ,1 
173,45 ,03152012 05:20 AM ,1'55 ,1 
174,52 ,03152012 09:20 AH ,”res ,1 
175,52 ,0212312012 08:32 AH ,V95 ,1 
176,57 ,0040012012 02:45 AM ,YEE ,‘I 
177,41 ,044002012 12:30 PM ,“ms ,I 
178,24 ,0019320121230 PM ,T35 ,1 
179,45 ,0411012012 12:30 PM ,Yes ,1 
180,41 ,0401912012 12:20 PM ,YGE ,1 
181,55 ,04141020121200 PM ,Nu ,1 
182,54 ,05l'0?.’2012 00:00 AM , ,1 
183,55 ,051'1 522012 02:12 PM ,Yeti ,1 
184,55 ,0511512012 02:12 P“ ,Yes ,1 
185,45 ,05:01.12012 12:15 PM ,No ,1. 
186,a? ,0010' 212012 00:40 Mull , ,1 
187,45 ,0012512012 00:43 0.01 ,'1'35 ,1 
188,53 ,002002012 00:44 AM ,Tea ,1 
189,5D ,02.02.2012 12:25 PM ,YES ,1 
190,55 ,0?.“121‘2012 10:24- AM ,YES. ,1 
191,55 ,"0211 ""H2012 00:20 AM ",Ya: ,1 
192,54 ,0211222012 00:2?I AH ,No ,1 
193,55 ,0202120121210 PM ,Yes ,1 
194,25 ,0?J10.’201212:32 151-1 ,Yes ,1 
195,43 ,0000021012 11 :40 AM ,YES ,1 
196,49 ,0&053012 11 :40 NJ ,YES ,1 
197,45 ,0W1 3.12012 11:50 AM ,Yes ,1 
198,55 ,03.0 3120121150 “.1 ,Yes ,1 
199,5? ,05.11 #2012 10:52l “-1 ,Yes ,1 
200,51 ,03.“ 0.12012 00:13 Mn! ,Nu ,1 
201,43 ,03.” 6.12012 00:15 Null ,Yes ,1 
202,55 ,0312032012 00:45 Mull ,YES ,1 
203,55 ,0332112012 02:50 PM ,Yes ,1 
204,55 ,034232012 04:47 PM ,Yes ,1 
205,52 ,0012332012 04:11? PM ,YES ,1 
206,35 ,021'241'201211:1? AM ,‘69:: ,1 
207,55 ,11.11 mm 02:13- PM ,“E35 ,1 
208,54 ,0&09J1000 02:29 PM ,”res ,1 
209,45 ,02-20-1102? 02:50 PM ,'1'25 ,1 
210,5? ,03mm 00:40 AM ,Yes ,1 
211,55 ,031021330 11:20 AM ,”(as ,1 
212,55 ,05002000 00:50 Null ,ND ,'E 
213,51 ,01121020001211 PM ,Yes. ,1 
214,52 ,000042000 00:30 AM ,Yes ,'[ 
215,54 , ,Yes , 
216,53 ,00.010200“! 03:00 PM ,Yes ,1 
217,53 ,05.00.2002 05:30 AM ,YES ,2 
218,55 ,1000:0032 11:55 AM ,“res ,I 
219,54 ,03.03.0003 00:10 AM ,YES ,1 
220, ,02.03.0003 00:43 AM ,NO ,1 
221,4? ,100132000 02:00 PM ,YES ,1 
222,45 ,0501202004 10:45 AM ,1'35 ,1 
223,45 ,00.00.0004 00:40 AM ,”(as ,1 
224,45 ,000512004 00:43 AM ,”far. ,2 
225,55 ,050102004 12:13 PM ,YES ,1 
226,53 ,03002005 00:51 mm ,V35 ,1 
227,:15 ,00202005 10:35 Mull ,“(as ,1 
228,41 ,11.120200511134010 ,No ,1 
229,55 ,00100005 00:55 AM ,Na ,I 
230,5? ,05(10’2005 12:50 PM ,Na ,1 
231,61 ,10002000 03:3? FM ,"""I‘as ",I 
232,5:1 ,12.05.0005 10:35 AM ,Na ,1 
233,50 ,013131200? 11:41 5M ,No ,1 
234,5.5 ,023151200? 05:25 AM ,Na ,1 
235,55 ,03150300? 03:2? AM ,ND ,1 
236,52 ,03-05000? 00:15 AM ,ND ,1 
237,45 ,03:05200? 00:15 0.10 ,No ,2 
238,53 ,03320003? 00:10 AM ,No ,1 
239,52 ,04.110000? 05:33 AM ,Yes ,1 
240,30 ,06.020000? 05:00 PM , ,I 
241,4? ,00.03.2007? 10:55 AM ,ND ,I 
242,4.11. ,0303.000? 10:5? AM ,No ,I 
243,55 ,0003.000? 10:55 AH ,Na ,I 
244,5-1 ,0000200? 00:31 AM ,NI: ,1 
245,55 ,00202005 01:22 PM ,No ,1 
246,52 ,020532003 0050 Ml ,No ,1 
247,5? ,0340422003 03:20 Mil ,Nc- ,1 
248,55 ,0302312000 00:10 AM ,5'35 ,1 
249,51 ,04.002000 11:55 AM ,No ,1 
250,25 ,0510-02000 12:50 PM ,Yes ,1 
251,5:1 ,000132000 10:30 0M ,“fax ,1 
252,51 ,002040005 03:05I P'I'u'l ,No ,1 
253,:12 ,00000000 03:00 PM ,Na ,1 
254,45 ,0102502000 03:55 AM ,Na ,3 
255,51:1 ,03.05.0000 00:55 AM ,Yes ,'E 
256,55 ,00.05.0005 02:40 PM ,No ,2 
257,3? ,1000-0000 00:10 PM ,No ,I 
258,.15 ,10000000 00:3? F'M ,No ,I 
259,51 ,1000:2000 00:04 PM ,‘r'as ,I 
260,41:! ,1310920051103 AM ,Yes ,I 
261,55 ,01.002000 12:00 PM ,No ,I 
262,2.1 ,021100000 01 :03 PM ,Ho ,'F 
263,55 ,0202:2000 00:15 PM ,ND ,'i 
264,35 ,02.029200? 00:35 PM ,ND ,I 
265,3? ,02:12:2000 05:21 PM ,No ,I 
266,55 ,0311302000 01 :5? PM ,Yes ,1 
267,51 ,030000001010 AH ,N0 ,1 
268,52 ,03100000120030. ,No ,'I 
269,49 , ,Na , 
270,49 ,0013-12000 10:51 AM ,Na ,1 
271,5? ,001?.“200511:14AM ,Na ,'I 
272,M ,05.002000 00:40 AM ,Na ,1 
273,3.5 ,0511102000 12:24 PM ,Na ,1 
274, ,05315.92005 03:12 PM ,Na ,1 
275,25 ,00.002000 03:54 PM ,No ,1 
276,35 ,0Tf0ﬂ2005 10:00 AM ,Yes ,1 
277,53 ,05202002 12:01 PM ,No ,2 
278,w ,0112412002 00:21 AM ,Was ,2 
279,62 ,W005 00:20 PM ,Na ,1 
280,53 ,05.05.2005 05:54 PM ,No ,1 
281,23 ,00202000 00:13 AM ,Yes ,1 
282,ED ,05.25.2000 05:25 AM ,Yea ,1 
283,27 ,0511 1.12005 05:25 AM ,ND ,1 
284,4? ,0011212000 05:10 PM ,ND ,1 
285,151 ,0512312005 02:54 PM ,YES ,1 
286, ,022102005 03:25 PM ,YES ,II 
287,SE ,10202000 00:34 AM ,No ,II 
288,51 ,1012532005 02:51 PM ,Yes ,1 
289, ,1. 10512035 00:50 PM ,YG-E ,1 
290,54} ,11570305 03:15 PM ,Yes ,1 
291,49 ,1111520001245 FM ,YES ,1 
292,4': ,12032005 05:24 PM ,Ho ,1 
293,51 ,120002005 05:52 AM , ,1 
294, ,1315:2005 11:0? AM ,T35 ,1 
295,£5 ,12.115200531221551 ,ND ,1 
296,5? ,12032005 12:52 PM ,No ,1 
297,45 ,12.20.2000 12:45 PM ,Yes ,1 
298,55 ,010520101255 PM ,Yes ,1 
299,5? ,0112152010 02:55 PM ,Yes ,1 
300,53 ,0112512010 02:50 PM ,Yes ,1 
301,E: ,01320-12010 02:55 PM ,Yes ,1 
302,.141. ,01252010 02:55 PM ,Yes ,1 
303,El ,01.25.2010 02:55 PM ,Yes ,1 
304,50 ,021150010 05:15 PM ,“(as ,1 
305,31 ,0211512010 05:11|I PM ,T35 ,1 
306,d9 ,021152010 05:1]r PM ,Yes ,1 
307,SB ,001012010 05:10 PM ,Yes ,1 
308,49 ,0511212010 05:05 AM ,No ,1 
309,30 ,035232010 05:04 AM ,Tea ,1 
310,2T ,0311212010 00:05 AM ,Nu ,1 
311,40 ,00112-12010 05:05 .M-I ,"""r'as ",1 
312,24 ,00.02.2010 10:32 AM ,YES ,1 
313,45 ,05.02.2010 11:44 AM ,Yes ,2 
314,2'9 ,0511212010 11:4? .00 ,Ma ,1 
315,83 ,03.02.2010 02:02 PM ,No ,1 
316,I32 ,00.02.2010 02:00 PM ,ND ,1 
317,60 ,0301212010 02:05 PM ,ND ,1 
318,52 ,00.02.2010 02:05 PM ,Yes ,1 
319,4? ,00312-12010 02:05 PM ,YGE ,1 
320,42 ,0231212010 02:05 PM ,Yes ,1 
321,59 ,00-02-2010 02:05 PM ,Yes ,1 
322,53 ,0012512010 05:03 PM ,Yes ,1 
323,2:5 , ,1'25 , 
324,42 ,0312612010 03:05 PM ,”(35 ,1 
325,31 ,011102-2010 12:22 PM ,YES ,1 
326,53 ,04100120101222 F111 ,Yes ,1 
327,52 ,04110012010 12:23 PM ,Yes ,2 
328,55 ,01100-2010 12:23 PM ,“ms ,1 
329,45 ,0111022010 12:23 Pill ,“($5 ,1 
330,35 ,0410012010 12:23 P111 ,N:- ,1 
331, ,00002010 12:23 PM ,No ,1 
332,2a ,01110012010 12:23 PM ,'fas ,1 
333,42 ,04110012010 12:24 PM ,NO ,1 
334,54 ,"0012312010 11:21"" 10.1 ",Yﬁﬁl ,2 
335,55 ,0412312010 11:20 AM ,No ,1 
336,24 ,0425120101125 1101 ,Yes ,1 
337,5? ,04.231201011232111 ,Yes ,1 
338,42 ,W010 03:35 111111 ,Yes ,1 
339,54 ,0413012010 0335 11111 ,Yes ,1 
340,51 ,0111302010 00:30 111-! ,YES ,1 
341,51 ,0113012010 05:33 1.1.1 ,Yes ,1 
342,57 ,04100-12010 00:33 1011 ,Yes ,1 
343,52 ,032112010 00:00 11111 ,VIBE ,1 
344,22 ,0512112010 00:00 111111 ,YES ,1 
345,45 ,0512112010 00:01 11111 ,Vera ,1 
346,44 ,05421120101125 11111 ,Yea“ ,1 
347,55 ,0512112010 11:2? 1011 , ,1 
348,EU ,052113010112? 11111 ,Yea ,1 
349,55 ,0512112010 11:2}I .0111 ,Nu ,a 
350,52 ,0512112010 00:05 10:1 ,”res ,1 
351,4? ,0510212010 10:21 .1011 ,Was ,1 
352,42 ,051022010 10.23 10.1 ,MD ,1 
353,51 ,030212010 10:22 11111 ,MI: ,1 
354,52 ,0131202010 10:54 AM ,Na ,1 
355,35 ,05.002010 10:55 1.1.1 ,Na ,1 
356,441 ,0012012010 10:53 1011 ,Na ,1 
357,59 ,0512012010 10:5? 1.1.1 ,“(ea ,1 
358,52 ,03202010 10:57 11111 ,N:- ,1 
359,52 ,0012212010 10:50 111-1 ,No ,1 
360,52 ,07111112010 12:13 P111 ,ND ,1 
361,5a ,01110120101213 P111 ,No ,1 
362,45 ,0711412010 12:13 PM ,M: ,1 
363,55 ,01111112310 12:1-1 P111 ,ND ,2 
364,55 ,0'111012010 10:01 10.1 ,ND ,1 
365,45 ,0111312010 10701 111-1 ,ND ,2 
366,51 ,0111212010 10:01 AM ,No ,1 
367,25 ,W11012010 10:01 11111 ,No ,1 
368,52 ,0711012010 10:01 11.1.1 ,Na ,1 
369,3? ,0112012010 11:30 10.1 ,No ,1 
370,5o ,03032010 11:03 AM ,”(as ,1 
371,41 ,0510012010 11:00 51-1 ,No ,1 
372,45 ,030310010 11:00 0.1.1 ,Yes ,1 
373,5? ,03032010 11:00 1011 ,N0 ,1 
374,22 ,030012010 11:00 11111 ,"""area ",1 
375,EU ,0510312010 11:00 11111 ,Yes ,1 
376,44 ,0303112010 11:00 AM ,Yes ,1 
377,35 , ,Yes , 
